TRACT,SHORT TRACT,TIER
17031010100,101,2
17031010201,102.01,2
17031010202,102.02,3
17031010300,103,2
17031010400,104,3
17031010501,105.01,2
17031010502,105.02,2
17031010503,105.03,3
17031010600,106,3
17031010701,107.01,4
17031010702,107.02,3
17031020100,201,3
17031020200,202,4
17031020301,203.01,4
17031020302,203.02,4
17031020400,204,4
17031020500,205,3
17031020601,206.01,3
17031020602,206.02,3
17031020701,207.01,4
17031020702,207.02,3
17031020801,208.01,3
17031020802,208.02,3
17031020901,209.01,3
17031020902,209.02,3
17031030101,301.01,3
17031030102,301.02,4
17031030103,301.03,3
17031030104,301.04,3
17031030200,302,4
17031030300,303,3
17031030400,304,3
17031030500,305,4
17031030601,306.01,3
17031030603,306.03,2
17031030604,306.04,4
17031030701,307.01,4
17031030702,307.02,4
17031030703,307.03,3
17031030706,307.06,3
17031030800,308,4
17031030900,309,4
17031031000,310,4
17031031100,311,3
17031031200,312,2
17031031300,313,3
17031031400,314,4
17031031501,315.01,2
17031031502,315.02,2
17031031700,317,3
17031031800,318,4
17031031900,319,4
17031032100,321,3
17031040100,401,4
17031040201,402.01,4
17031040202,402.02,3
17031040300,403,4
17031040401,404.01,4
17031040402,404.02,3
17031040600,406,4
17031040700,407,4
17031040800,408,4
17031040900,409,4
17031050100,501,4
17031050200,502,4
17031050300,503,4
17031050500,505,4
17031050600,506,4
17031050700,507,4
17031050800,508,4
17031050900,509,4
17031051000,510,4
17031051100,511,4
17031051200,512,4
17031051300,513,4
17031051400,514,4
17031060100,601,4
17031060200,602,4
17031060300,603,4
17031060400,604,4
17031060500,605,4
17031060800,608,4
17031060900,609,4
17031061000,610,4
17031061100,611,4
17031061200,612,4
17031061500,615,4
17031061800,618,4
17031061901,619.01,4
17031061902,619.02,4
17031062000,620,4
17031062100,621,4
17031062200,622,4
17031062300,623,4
17031062400,624,4
17031062500,625,4
17031062600,626,4
17031062700,627,4
17031062800,628,4
17031062900,629,4
17031063000,630,4
17031063100,631,4
17031063200,632,4
17031063301,633.01,4
17031063302,633.02,4
17031063303,633.03,4
17031063400,634,4
17031070101,701.01,4
17031070102,701.02,4
17031070103,701.03,4
17031070200,702,4
17031070300,703,4
17031070400,704,4
17031070500,705,4
17031070600,706,4
17031070700,707,4
17031071000,710,4
17031071100,711,4
17031071200,712,4
17031071300,713,4
17031071400,714,4
17031071500,715,4
17031071600,716,4
17031071700,717,4
17031071800,718,4
17031080100,801,4
17031080201,802.01,4
17031080202,802.02,4
17031080300,803,3
17031080400,804,3
17031081000,810,3
17031081100,811,4
17031081201,812.01,4
17031081202,812.02,4
17031081300,813,4
17031081401,814.01,4
17031081402,814.02,4
17031081403,814.03,4
17031081500,815,4
17031081600,816,4
17031081700,817,4
17031081800,818,4
17031081900,819,2
17031090100,901,4
17031090200,902,4
17031090300,903,4
17031100100,1001,4
17031100200,1002,4
17031100300,1003,4
17031100400,1004,4
17031100500,1005,4
17031100600,1006,4
17031100700,1007,4
17031110100,1101,4
17031110200,1102,4
17031110300,1103,4
17031110400,1104,4
17031110501,1105.01,4
17031110502,1105.02,4
17031120100,1201,4
17031120200,1202,4
17031120300,1203,4
17031120400,1204,4
17031130100,1301,4
17031130200,1302,4
17031130300,1303,4
17031140100,1401,1
17031140200,1402,2
17031140301,1403.01,2
17031140302,1403.02,3
17031140400,1404,4
17031140500,1405,3
17031140601,1406.01,3
17031140602,1406.02,2
17031140701,1407.01,3
17031140702,1407.02,2
17031140800,1408,4
17031150200,1502,3
17031150300,1503,4
17031150401,1504.01,4
17031150402,1504.02,4
17031150501,1505.01,4
17031150502,1505.02,3
17031150600,1506,4
17031150700,1507,4
17031150800,1508,3
17031151001,1510.01,2
17031151002,1510.02,3
17031151100,1511,3
17031151200,1512,3
17031160100,1601,4
17031160200,1602,4
17031160300,1603,4
17031160400,1604,3
17031160501,1605.01,2
17031160502,1605.02,3
17031160601,1606.01,4
17031160602,1606.02,3
17031160700,1607,4
17031160800,1608,3
17031160900,1609,4
17031161000,1610,4
17031161100,1611,4
17031161200,1612,4
17031161300,1613,3
17031170100,1701,4
17031170200,1702,4
17031170300,1703,4
17031170400,1704,4
17031170500,1705,4
17031170600,1706,4
17031170700,1707,4
17031170800,1708,4
17031170900,1709,3
17031171000,1710,4
17031171100,1711,4
17031180100,1801,3
17031190100,1901,1
17031190200,1902,2
17031190300,1903,2
17031190401,1904.01,3
17031190402,1904.02,3
17031190601,1906.01,2
17031190602,1906.02,3
17031190701,1907.01,1
17031190702,1907.02,1
17031190800,1908,1
17031190900,1909,2
17031191000,1910,2
17031191100,1911,1
17031191200,1912,2
17031191301,1913.01,1
17031191302,1913.02,1
17031200100,2001,2
17031200200,2002,1
17031200300,2003,1
17031200401,2004.01,1
17031200402,2004.02,1
17031210100,2101,4
17031210400,2104,3
17031210501,2105.01,2
17031210502,2105.02,2
17031210601,2106.01,3
17031210602,2106.02,2
17031210700,2107,3
17031210800,2108,2
17031210900,2109,4
17031220300,2203,4
17031220400,2204,3
17031220500,2205,3
17031220601,2206.01,2
17031220602,2206.02,3
17031220701,2207.01,1
17031220702,2207.02,2
17031220901,2209.01,2
17031220902,2209.02,2
17031221000,2210,2
17031221100,2211,2
17031221200,2212,3
17031221300,2213,3
17031221400,2214,3
17031221500,2215,4
17031221600,2216,4
17031222200,2222,4
17031222500,2225,2
17031222600,2226,2
17031222700,2227,2
17031222800,2228,1
17031222900,2229,2
17031230100,2301,1
17031230200,2302,2
17031230300,2303,1
17031230400,2304,2
17031230500,2305,1
17031230600,2306,1
17031230700,2307,2
17031230800,2308,3
17031230900,2309,1
17031231100,2311,2
17031231200,2312,1
17031231500,2315,2
17031240200,2402,4
17031240300,2403,4
17031240500,2405,4
17031240600,2406,4
17031240700,2407,3
17031240800,2408,2
17031240900,2409,2
17031241000,2410,1
17031241100,2411,2
17031241200,2412,3
17031241300,2413,3
17031241400,2414,3
17031241500,2415,4
17031241600,2416,3
17031242000,2420,3
17031242100,2421,4
17031242200,2422,4
17031242300,2423,4
17031242400,2424,3
17031242500,2425,2
17031242600,2426,3
17031242700,2427,1
17031242800,2428,4
17031242900,2429,4
17031243000,2430,4
17031243100,2431,4
17031243200,2432,4
17031243300,2433,3
17031243400,2434,3
17031243500,2435,4
17031250200,2502,2
17031250300,2503,2
17031250400,2504,2
17031250500,2505,4
