TRACT ,Estimated Median Family Income,Less Than High School,High School ,Some College ,College Graduate ,Graduate School ,Educational Attainment Score,% of Single Parent Households ,% of Owner Occupied Homes ,% of Population Speaking a Language Other than English ,Weighted Average NWEA Performance at Attendance Area Schools ,Number of School Age Children ,Estimated Median Family Income Cumulative Percentage ,Educational Attainment Score Cumulative Percentage ,% of Single Parent Households Cumulative Percentage ,% of Owner Occupied Homes Cumulative Percentage ,% of Population Speaking a Language Other than English Cumulative Percentage ,Weighted Average NWEA Performance at Attendance Area Schools Cumulative Percentage ,6-Factor Socioeconomic Score ,6-Factor Socioeconomic Tier
101,"$49,866.00",327,767,1144,663,477,0.6116,56.81%,22.77%,21.65%,38.84%,753,56.05%,79.63%,33.20%,7.01%,63.25%,18.76%,0.4298,2
102.01,"$43,672.00",846,885,1186,890,547,0.5728,40.65%,38.00%,38.28%,44.43%,1282,45.58%,72.11%,49.28%,37.58%,48.12%,31.71%,0.474,2
102.02,"$59,739.00",295,378,576,328,310,0.5979,39.18%,28.81%,36.56%,42.92%,403,69.65%,77.44%,50.97%,15.33%,50.42%,28.01%,0.4864,3
103,"$50,774.00",1139,930,1291,953,565,0.5539,28.28%,34.89%,36.77%,40.30%,707,57.30%,67.45%,70.72%,30.00%,50.02%,20.90%,0.494,3
104,"$75,231.00",168,353,410,742,852,0.7392,19.53%,25.68%,27.24%,49.32%,275,80.43%,92.14%,83.50%,10.47%,58.13%,46.58%,0.6187,3
105.01,"$23,553.00",214,352,918,968,696,0.7004,63.87%,21.54%,19.19%,50.50%,408,4.45%,89.78%,25.53%,5.60%,64.91%,52.56%,0.4047,2
105.02,"$38,796.00",383,165,500,618,271,0.6236,55.56%,23.46%,38.46%,48.10%,299,33.27%,80.89%,33.94%,7.75%,47.76%,42.00%,0.4093,2
105.03,"$44,151.00",325,257,135,334,256,0.5907,15.69%,15.40%,35.18%,48.10%,100,46.59%,76.51%,89.05%,2.26%,51.56%,41.93%,0.5132,3
106,"$58,826.00",609,931,1045,1074,1020,0.6412,48.24%,34.03%,36.11%,49.17%,719,68.80%,84.47%,39.89%,27.90%,50.98%,46.21%,0.5304,3
107.01,"$66,154.00",577,548,492,670,413,0.5847,40.25%,46.68%,50.59%,54.10%,731,75.44%,74.92%,49.60%,57.70%,40.99%,68.04%,0.6112,3
