TRACT,Estimated Median Family Income,Less Than High School,High School,Some College,College Graduate,Graduate School,Educational Attainment Score,% of Single Parent Households,% of Owner Occupied Homes,% of Population Speaking a Language Other than English,Weighted Average ISAT Performance at Attendance Area Schools,Number of School Age Children,Estimated Median Family Income Cumulative Percentage,Educational Attainment Score Cumulative Percentage,% of Single Parent Households Cumulative Percentage,% of Owner Occupied Homes Cumulative Percentage,% of Population Speaking a Language Other than English Cumulative Percentage,Weighted Average ISAT Performance at Attendance Area Schools Cumulative Percentage,6-Factor Socioeconomic Score,6-Factor Socioeconomic Tier
101,"$50,733",484,770,1100,744,323,0.5797,65.78%,23.23%,17.81%,38.64%,740,56.45%,77.01%,24.86%,7.88%,63.93%,16.87%,0.4117,2
102.01,"$45,528",817,870,1112,990,436,0.5696,43.14%,37.49%,41.81%,51.74%,1202,47.54%,75.01%,46.01%,36.61%,45.72%,42.82%,0.4895,3
102.02,"$70,701",415,361,591,286,231,0.553,49.22%,28.79%,33.53%,47.85%,387,80.29%,70.75%,39.47%,16.29%,52.01%,32.91%,0.4862,3
103,"$53,682",906,969,1413,899,588,0.5704,41.39%,34.49%,32.18%,41.93%,634,61.90%,75.38%,48.26%,29.69%,53.49%,22.65%,0.4856,3
104,"$85,438",294,358,684,732,694,0.685,31.21%,26.43%,33.72%,55.76%,265,88.14%,90.67%,65.87%,12.24%,51.83%,54.46%,0.6053,3
105.01,"$25,990",330,473,638,971,686,0.6781,68.34%,21.20%,29.97%,63.09%,359,5.28%,90.24%,23.03%,5.65%,55.88%,74.87%,0.4249,2
105.02,"$41,182",435,286,587,659,302,0.6094,36.69%,23.80%,32.08%,51.63%,224,39.77%,82.68%,55.94%,8.42%,53.54%,42.34%,0.4712,2
105.03,"$46,288",372,143,285,449,344,0.6314,12.70%,15.56%,30.02%,51.46%,76,48.60%,85.78%,93.91%,2.76%,55.79%,41.76%,0.5477,3
106,"$62,385",486,895,1059,1146,977,0.654,33.21%,33.75%,41.35%,56.85%,651,72.62%,89.00%,59.96%,27.81%,46.07%,57.95%,0.589,3
107.01,"$70,171",461,368,507,801,575,0.6487,38.89%,46.67%,43.72%,66.47%,698,80.20%,87.81%,52.01%,57.36%,44.45%,80.55%,0.6706,4
107.02,"$47,621",1100,709,456,760,417,0.5236,31.89%,31.87%,57.83%,61.97%,971,51.16%,61.46%,63.43%,23.62%,35.61%,71.80%,0.5118,3
201,"$61,101",402,525,721,543,420,0.6041,31.15%,46.37%,34.75%,64.86%,701,70.89%,81.57%,66.03%,55.93%,50.93%,77.84%,0.672,4
202,"$84,051",598,759,971,1249,951,0.6528,23.32%,75.64%,41.10%,77.06%,1459,86.70%,88.64%,78.88%,88.34%,46.47%,94.06%,0.8052,4
203.01,"$79,631",328,658,768,1110,543,0.6518,20.80%,77.15%,33.45%,67.74%,949,84.61%,88.25%,84.25%,90.09%,52.23%,82.77%,0.8037,4
203.02,"$75,947",633,683,622,694,553,0.5906,13.07%,58.73%,50.90%,71.05%,790,82.43%,79.22%,93.05%,74.38%,40.32%,88.19%,0.7626,4
204,"$64,643",333,581,832,607,608,0.6389,18.02%,51.87%,46.91%,64.86%,783,75.21%,86.89%,88.32%,65.48%,42.27%,77.84%,0.7267,4
205,"$43,517",1088,1111,740,748,394,0.5142,35.47%,31.59%,66.73%,62.26%,1139,43.85%,58.51%,56.82%,22.86%,27.72%,73.41%,0.472,2
206.01,"$50,992",901,1002,969,625,566,0.5485,21.99%,39.91%,65.52%,65.15%,1350,56.97%,69.26%,82.13%,43.93%,29.12%,78.33%,0.5996,3
206.02,"$56,709",647,543,555,752,474,0.5908,17.50%,46.61%,67.31%,63.09%,824,66.15%,79.41%,88.65%,57.14%,27.05%,74.57%,0.655,4
207.01,"$76,486",36,329,429,334,163,0.6401,40.00%,64.27%,41.31%,70.77%,300,82.50%,86.96%,50.17%,79.32%,46.14%,87.47%,0.7209,4
207.02,"$52,429",1150,1087,1213,905,462,0.5353,19.98%,40.70%,65.52%,66.84%,1285,60.11%,65.15%,85.54%,45.07%,29.42%,81.05%,0.6105,3
208.01,"$54,142",860,656,1039,770,417,0.5587,39.02%,42.80%,60.57%,70.77%,861,62.59%,72.63%,51.61%,50.14%,32.76%,87.47%,0.5953,3
208.02,"$60,909",998,684,1119,1095,358,0.5591,19.22%,34.75%,66.71%,67.06%,1240,70.60%,73.19%,86.55%,30.03%,28.01%,81.44%,0.6164,3
209.01,"$40,370",972,936,707,747,275,0.513,20.91%,38.34%,75.18%,69.53%,1029,38.37%,57.73%,83.75%,39.21%,20.00%,84.77%,0.5397,3
209.02,"$45,204",549,1214,665,487,138,0.4985,10.39%,57.12%,67.54%,70.98%,603,46.88%,54.09%,96.08%,72.33%,26.86%,87.95%,0.6403,3
301.01,"$69,198",345,413,776,895,633,0.6691,33.18%,38.43%,46.98%,68.75%,291,79.21%,89.63%,60.08%,39.53%,42.05%,84.06%,0.6576,4
301.02,"$65,541",171,515,772,686,450,0.6562,25.14%,43.59%,37.74%,68.77%,181,77.05%,89.11%,76.90%,51.52%,49.32%,84.10%,0.7133,4
301.03,"$25,150",51,249,361,517,408,0.7238,0.00%,33.48%,37.28%,68.75%,61,3.98%,93.06%,100.00%,27.25%,49.69%,84.06%,0.5967,3
301.04,"$44,524",85,403,739,354,97,0.597,41.50%,33.95%,39.16%,68.75%,90,45.78%,80.14%,47.93%,28.54%,48.00%,84.06%,0.5574,3
302,"$84,412",171,368,1030,1202,1052,0.7358,14.72%,51.02%,18.51%,69.69%,605,87.45%,93.49%,91.34%,64.05%,63.23%,84.91%,0.8074,4
303,"$67,252",341,685,620,521,320,0.5834,33.85%,33.85%,54.37%,70.98%,506,77.75%,77.57%,58.18%,28.43%,38.17%,87.95%,0.6134,3
